,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2097,Bagpipes From Baghdad,Relapse: Refill,Eminem,2009-05-15,283066,56,0.74,0.104,0.74,0.915,0.0,0.0853,-2.472,0.211,93.035,4
2098,Lapdance,In Search Of...,N.E.R.D,2002-02-12,210094,0,0.712,0.033,0.712,0.96,8.93e-06,0.32,-2.45,0.129,101.984,4
2099,"Lean Back (feat. Lil Jon, Eminem, Mase & Remy Martin) - Remix",All Or Nothing,Fat Joe,2005-06-14,289738,63,0.635,0.116,0.635,0.751,0.0,0.0951,-5.055,0.357,126.806,5
2100,Make No Sense,AI YoungBoy 2,YoungBoy Never Broke Again,2019-10-11,148629,77,0.876,0.0208,0.876,0.733,0.0,0.0999,-4.478,0.333,154.904,4
2101,Pop That,Excuse My French (Deluxe),French Montana,2013-01-01,303533,52,0.734,0.0648,0.734,0.892,0.0,0.58,-1.856,0.125,138.031,4
2102,The Way You Move (feat. Sleepy Brown),Speakerboxxx/The Love Below,Outkast,2003,234000,66,0.871,0.126,0.871,0.597,0.000113,0.0638,-4.932,0.0464,125.999,4
2103,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,193466,79,0.899,0.255,0.899,0.713,0.0,0.0708,-2.752,0.366,90.051,4
2104,Pump It Up,Joe Budden,Joe Budden,2003-06-10,251373,0,0.483,0.0373,0.483,0.847,0.0,0.118,-5.042,0.349,104.919,4
2105,Recap (feat. Don Toliver),Good Intentions,NAV,2020-05-08,143824,66,0.838,0.231,0.838,0.609,0.0,0.0983,-5.161,0.0502,127.963,4
2106,Solitaires (feat. Travis Scott),High Off Life,Future,2020-05-15,205666,74,0.691,0.122,0.691,0.632,0.0,0.0646,-7.598,0.0513,169.982,4
2107,Runnin,SAVAGE MODE II,21 Savage,2020-10-02,195906,86,0.819,0.00748,0.819,0.626,0.101,0.167,-4.574,0.202,143.01,4
2108,Aim For The Moon (feat. Quavo),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,2020-07-20,175756,70,0.713,0.497,0.713,0.605,3.46e-06,0.115,-7.487,0.107,142.025,4
2109,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",Lil Boat 3,Lil Yachty,2020-05-29,232838,73,0.784,0.156,0.784,0.632,0.0,0.605,-6.083,0.347,124.603,4
2110,Leaders (feat. NAV),Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert,2020-03-13,194843,66,0.95,0.0744,0.95,0.654,0.0,0.138,-5.895,0.307,132.936,4
2111,Dennis Rodman (feat. Tyga),Floor Seats II,A$AP Ferg,2020-09-25,198306,51,0.741,0.0358,0.741,0.537,0.0,0.146,-6.797,0.143,80.454,4
2112,Roses Remix (feat. Future),Roses Remix (feat. Future),SAINt JHN,2020-05-29,187897,71,0.941,0.0247,0.941,0.463,5.53e-05,0.192,-5.993,0.113,127.003,4
2113,Taco Tuesday,Taco Tuesday,Migos,2020-05-05,96563,65,0.945,0.000515,0.945,0.65,0.0,0.135,-7.071,0.154,129.007,4
2114,Numb Numb Juice,Numb Numb Juice,ScHoolboy Q,2019-03-14,114973,0,0.886,0.00122,0.886,0.47,3.36e-05,0.121,-7.756,0.458,156.997,4
2115,VV's,VV's,KILLY,2020-04-10,150361,53,0.842,0.128,0.842,0.424,0.00011,0.122,-11.189,0.393,83.001,4
2116,Futsal Shuffle 2020,Futsal Shuffle 2020,Lil Uzi Vert,2019-12-12,198912,74,0.881,0.0327,0.881,0.457,0.0,0.231,-8.191,0.156,136.97,4
2117,Wolves (with NAV),Meet The Woo 2 (Deluxe),Pop Smoke,2020-02-12,194680,68,0.836,0.143,0.836,0.627,0.0,0.0657,-4.377,0.197,142.99,4
2118,Jet Lag,Floor Seats,A$AP Ferg,2019-08-16,203720,0,0.85,0.0085,0.85,0.803,2.41e-05,0.104,-3.297,0.292,169.986,4
2119,24 (feat. Lil Baby),24 (feat. Lil Baby),Money Man,2020-08-14,182857,80,0.868,0.146,0.868,0.638,0.0565,0.0931,-7.746,0.0736,126.03,4
2120,COOLER THAN A BITCH (feat. Roddy Ricch),WUNNA,Gunna,2020-05-22,197000,74,0.837,0.281,0.837,0.586,0.0,0.134,-8.521,0.0807,117.066,4
2121,Patek,Patek,Future,2020-07-30,280665,73,0.801,0.00301,0.801,0.596,0.0,0.162,-4.72,0.0534,120.028,4
2122,SWAG,SWAG,YG,2020-07-10,153478,64,0.861,0.0188,0.861,0.58,2.22e-06,0.0767,-7.07,0.338,157.875,4
2123,Cool J,Dem Times,Roy Woods,2020-05-15,202672,53,0.801,0.00998,0.801,0.585,2.67e-06,0.112,-7.287,0.0343,99.996,4
2124,BLINDFOLD (feat. Lil Baby),WUNNA,Gunna,2020-05-22,154666,66,0.889,0.0562,0.889,0.507,0.0,0.116,-8.74,0.162,111.994,4
2125,Hop Off A Jet (feat. Travis Scott),So Much Fun (Deluxe),Young Thug,2019-12-20,174066,66,0.823,0.0115,0.823,0.476,0.0,0.213,-8.951,0.242,144.998,4
2126,Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,2019-04-09,243976,78,0.729,0.0948,0.729,0.603,0.0,0.113,-6.736,0.0666,134.972,4
2127,Mansion,Mansion,Pressa,2020-07-17,166000,61,0.666,0.626,0.666,0.711,2.47e-05,0.127,-6.075,0.298,164.023,4
2128,Prospect (ft. Lil Baby),I'm Gone,iann dior,2020-06-12,226313,73,0.816,0.203,0.816,0.579,0.0,0.127,-6.097,0.0867,120.078,4
2129,Stuntin' On You (feat. DaBaby),Stuntin' On You (feat. DaBaby),Tyla Yaweh,2020-07-17,141122,77,0.796,0.0111,0.796,0.683,2.58e-06,0.126,-5.165,0.277,173.852,3
2130,Gang On The Map (feat. SAFE),Struggle Before Glory (Deluxe),Smoke Dawg,2020-06-19,128516,41,0.762,0.232,0.762,0.583,0.491,0.101,-8.105,0.0407,135.979,4
2131,Foreign (feat. Nav),Virgo World,Lil Tecca,2020-09-18,133773,62,0.656,0.00424,0.656,0.473,0.0,0.0662,-9.708,0.0659,130.056,4
2132,96 Freestyle,96 Freestyle,Pressa,2020-05-12,112000,48,0.802,0.307,0.802,0.441,0.00259,0.1,-13.67,0.284,92.397,4
2133,Caddy's (feat. Juicy J),no long talk.,Baka Not Nice,2019-03-22,185650,45,0.89,0.0087,0.89,0.396,2.48e-05,0.0876,-10.381,0.363,75.001,4
2134,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,2020-07-30,146009,69,0.809,0.0535,0.809,0.68,1.2e-06,0.11,-4.883,0.222,143.988,4
2135,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,86,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4
2136,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,92,0.761,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4
2137,Anything Can Happen (feat. Meek Mill),Anything Can Happen (feat. Meek Mill),SAINt JHN,2019-08-09,186209,7,0.683,0.0224,0.683,0.779,0.0,0.368,-6.512,0.0609,138.018,4
2138,Swim,Swim,88GLAM,2020-03-05,175000,49,0.744,0.0315,0.744,0.469,0.0,0.13,-9.134,0.157,143.996,4
2139,OH NO,OH NO,KILLY,2020-07-10,150856,54,0.585,0.121,0.585,0.635,0.000425,0.0627,-9.494,0.0346,154.977,4
2140,FLIP THE SWITCH (feat. Drake),QUAVO HUNCHO,Quavo,2018-10-12,156195,69,0.853,0.129,0.853,0.637,0.0,0.267,-5.924,0.331,86.048,4
2141,Gold Roses (feat. Drake),Port of Miami 2,Rick Ross,2019-08-15,349600,70,0.502,0.00991,0.502,0.633,0.0,0.389,-5.8,0.419,83.226,4
2142,Dance for Me,New Mania,88GLAM,2020-06-26,147906,49,0.912,0.027,0.912,0.465,0.0,0.16,-7.463,0.094,126.023,4
2143,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,2019-04-24,248043,0,0.787,0.0902,0.787,0.728,0.0,0.316,-4.049,0.0417,119.945,4
2144,Death,A Love Letter To You 4,Trippie Redd,2019-11-22,172195,69,0.802,0.0579,0.802,0.82,0.0,0.149,-5.969,0.146,164.005,4
2145,Riot,Riot,Lil Skies,2020-05-14,166457,70,0.853,0.0236,0.853,0.852,0.0,0.342,-5.063,0.201,98.022,4
2146,Head Tap,Head Tap,Pressa,2020-07-08,184109,53,0.798,0.468,0.798,0.641,0.0,0.171,-5.581,0.372,146.078,4
2147,Bounce Freestyle,Bounce Freestyle,SAFE,2020-03-25,89573,37,0.782,0.0364,0.782,0.328,0.11,0.106,-11.677,0.14,83.971,4
2148,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,2019-02-15,233277,71,0.671,0.0825,0.671,0.833,0.0,0.0726,-5.152,0.395,79.351,4
2149,Red Room,FATHER OF 4,Offset,2019-02-22,241440,65,0.936,0.479,0.936,0.559,0.0,0.128,-8.587,0.157,112.347,4
2150,Nana,Nana,FRVRFRIDAY,2020-04-24,132927,55,0.742,0.582,0.742,0.36,0.0,0.0772,-11.285,0.145,126.078,4
2151,Floating (feat. 21 Savage),CrasH Talk,ScHoolboy Q,2019-04-26,186826,68,0.906,0.181,0.906,0.545,0.0,0.091,-4.977,0.344,139.932,4
2152,Moana,Moana,G-Eazy,2020-04-29,178216,74,0.753,0.0439,0.753,0.502,1.54e-06,0.128,-6.879,0.264,205.895,4
2153,Shot Again,Shot Again,Roy Woods,2020-01-31,155242,56,0.676,0.00993,0.676,0.549,0.0,0.0955,-8.318,0.19,181.913,4
2154,CASH COW,CASH COW,NGHTMRE,2019-11-15,222026,63,0.733,0.0359,0.733,0.722,6.34e-06,0.111,-5.07,0.0842,135.97,4
2155,Only The Team (with Lil Mosey & Lil Tjay),Only The Team (with Lil Mosey & Lil Tjay),Rvssian,2020-03-11,168979,70,0.764,0.0178,0.764,0.774,0.0,0.113,-2.871,0.202,149.952,4
2156,Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,2020-07-20,190534,88,0.905,0.0187,0.905,0.647,0.0,0.282,-5.065,0.107,130.97,4
2157,Valet,Peace Of Mind,Jay Whiss,2020-03-03,178746,37,0.849,0.0986,0.849,0.602,0.0,0.141,-9.054,0.362,86.009,4
2158,Slide (feat. Blueface & Lil Tjay),Slide (feat. Blueface & Lil Tjay),French Montana,2019-04-16,186344,61,0.532,0.093,0.532,0.704,0.0,0.184,-3.895,0.26,96.004,4
2159,What I Like (feat. Rich The Kid & Tyga),What I Like (feat. Rich The Kid & Tyga),Famous Dex,2020-04-03,177404,59,0.929,0.119,0.929,0.637,0.0,0.0994,-5.366,0.284,105.104,4
2160,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,86,0.629,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4
2161,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Perfect Ten,Mustard,2019-06-28,174100,76,0.883,0.189,0.883,0.525,0.0,0.0971,-8.054,0.0633,99.978,4
2162,Have Mercy,Have Mercy,Cordae,2019-03-08,189400,7,0.772,0.0309,0.772,0.385,0.0,0.647,-8.037,0.324,137.962,4
2163,Sick of Cells,Northside Jane 2,Various Artists,2020-08-28,220160,43,0.748,0.0556,0.748,0.381,8.78e-05,0.119,-11.928,0.175,130.979,4
2164,Treacherous,Treacherous,Lil Berete,2020-05-26,150361,35,0.893,0.0209,0.893,0.713,0.0,0.102,-8.653,0.131,83.006,4
2165,Timeout (feat. Pressa),Timeout (feat. Pressa),Yung Tory,2020-05-01,153128,49,0.741,0.514,0.741,0.546,0.0,0.135,-8.66,0.295,162.989,4
2166,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Revenge Of The Dreamers III,Dreamville,2019-07-05,217866,72,0.642,0.517,0.642,0.647,0.0,0.0649,-6.312,0.428,120.749,4
2167,Woodlawn,Limbo,Aminé,2020-08-07,143152,71,0.784,0.159,0.784,0.586,0.0,0.183,-5.148,0.057,113.973,4
2168,Baby (Lil Baby feat. DaBaby),Quality Control: Control The Streets Volume 2,Quality Control,2019-08-16,142417,75,0.97,0.0957,0.97,0.463,0.0,0.151,-7.259,0.366,108.003,4
2169,Couped Out (feat. Fivio Foreign),Couped Out (feat. Fivio Foreign),Famous Dex,2020-07-23,128341,56,0.86,0.0172,0.86,0.583,0.0,0.124,-6.798,0.143,105.001,4
2170,It's A Vibe,Pretty Girls Like Trap Music,2 Chainz,2017-06-16,210200,76,0.822,0.0312,0.822,0.502,0.000887,0.114,-7.38,0.148,73.003,4
2171,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),Scriptures,Tee Grizzley,2019-06-07,332195,69,0.779,0.237,0.779,0.705,0.0,0.0899,-6.383,0.051,122.996,4
2172,Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,2020-08-07,235987,80,0.874,0.147,0.874,0.443,0.0,0.124,-9.628,0.241,118.004,4
2173,Bezerk (feat. A$AP Ferg),Bezerk,Big Sean,2019-08-26,151066,70,0.684,0.0164,0.684,0.687,0.0,0.253,-4.673,0.2,184.026,4
2174,Help (with Tory Lanez),Funeral (Deluxe),Lil Wayne,2020-05-29,142205,51,0.687,0.0296,0.687,0.692,0.0,0.125,-6.676,0.051,170.042,3
2175,Put It On Me,Exodus (アウトロ),Ja Rule,2005-01-01,263200,0,0.687,0.00297,0.687,0.775,0.0,0.0491,-4.702,0.319,186.121,4
2176,You Make Me Wanna...,My Way,Usher,1997-09-16,219120,68,0.761,0.0359,0.761,0.639,0.0,0.0945,-7.577,0.0539,164.088,4
2177,What You Want (feat. Total),Harlem World,Mase,1997,242946,65,0.838,0.0312,0.838,0.72,1.11e-05,0.422,-6.593,0.384,93.76,4
2178,Dilemma,Nellyville (Explicit Version),Nelly,2002-06-25,289173,0,0.73,0.18,0.73,0.552,6.14e-05,0.224,-8.177,0.146,168.091,4
2179,U Remind Me - Radio Edit,8701,Usher,2001,266933,0,0.657,0.191,0.657,0.63,0.0,0.224,-5.142,0.0806,93.978,4
2180,Confessions Part II - Confessions Special Edition Version,Confessions,Usher,2004-03-23,211200,0,0.837,0.0508,0.837,0.469,0.0,0.0664,-7.666,0.137,138.052,4
2181,Always On Time,Exodus (アウトロ),Ja Rule,2005-01-01,242813,0,0.845,0.112,0.845,0.688,0.0,0.556,-3.542,0.155,96.673,4
2182,Mesmerize,Exodus (アウトロ),Ja Rule,2005-01-01,282106,0,0.761,0.0618,0.761,0.653,0.0,0.326,-6.577,0.182,90.049,4
2183,New York,Exodus (アウトロ),Ja Rule,2005-01-01,260560,0,0.545,0.239,0.545,0.777,0.0,0.0602,-5.795,0.412,92.393,4
2184,Wonderful,Exodus (アウトロ),Ja Rule,2005-01-01,270400,0,0.638,0.278,0.638,0.781,0.0,0.0585,-5.0,0.122,93.045,4
2185,Race Against Time,Venni Vetti Vecci,Ja Rule,1999-01-01,283533,0,0.862,0.00573,0.862,0.544,0.00144,0.346,-7.514,0.245,90.106,4
2186,Down A** B**ch,Pain Is Love (International Version),Ja Rule,2001-10-29,331133,0,0.482,0.338,0.482,0.647,0.0,0.0976,-6.582,0.316,87.429,4
2187,Life Ain't A Game,The Fast and The Furious (Original Motion Picture Soundtrack),Various Artists,2001-01-01,212000,0,0.783,0.00956,0.783,0.844,0.0,0.111,-2.292,0.179,119.861,4
2188,Still Not a Player (feat. Joe),The Legacy: The Best Of Big Pun,Big Pun,2009-09-15,236120,51,0.902,0.19,0.902,0.653,0.000983,0.0895,-5.425,0.284,94.069,4
2189,Furious,The Fast and The Furious (Original Motion Picture Soundtrack),Various Artists,2001-01-01,258000,0,0.816,0.0811,0.816,0.849,0.0,0.0616,-4.41,0.26,94.007,4
2190,Thong Song,Unleash The Dragon,Sisqo,1999-01-01,253733,0,0.706,0.119,0.706,0.888,9.64e-05,0.07,-6.959,0.0654,121.549,4
2191,Give It All to You,Learn How to Love,K-Young,2005-03-15,194716,21,0.641,0.513,0.641,0.828,7.33e-06,0.0773,-5.028,0.241,90.897,4
2192,"Bump, Bump, Bump (feat. P. Diddy)",Playlist: The Very Best Of Omarion,Omarion,2002,279000,39,0.838,0.107,0.838,0.66,0.0,0.115,-6.388,0.195,95.493,4
2193,Hey Daddy (Daddy's Home),Raymond v Raymond,Usher,2010-03-29,224093,0,0.59,0.000176,0.59,0.698,0.0,0.107,-4.262,0.0286,95.975,4
2194,Girlfriend,Greatest Hits,B2K,2004,205000,31,0.676,0.0241,0.676,0.561,0.0,0.0504,-6.562,0.216,89.947,4
2195,Girlfriend - Pied Piper Remix,Greatest Hits,B2K,2004,176800,41,0.676,0.101,0.676,0.65,0.0,0.359,-7.196,0.361,90.887,4
2196,Badaboom (feat. Fabolous),"B2K Presents ""You Got Served"" Soundtrack",B2K,2000,221426,30,0.813,0.0244,0.813,0.623,0.000576,0.14,-5.012,0.162,96.023,4
2197,Smack That,Konvicted,Akon,2006,212360,76,0.94,0.317,0.94,0.743,0.0,0.0909,-5.166,0.0475,118.988,4
2198,Beautiful,Freedom (Int'l Version),Akon,2008-01-01,312986,0,0.742,0.123,0.742,0.948,0.0,0.112,-4.445,0.0894,130.022,4
2199,Right Now (Na Na Na),Freedom (Int'l Version),Akon,2008-01-01,240746,0,0.832,0.269,0.832,0.87,0.0,0.415,-4.2,0.166,137.998,4
2200,Troublemaker,Freedom,Akon,2008-01-01,237173,49,0.857,0.128,0.857,0.787,0.0,0.352,-4.222,0.106,122.074,4
2201,I'm So Paid,Freedom,Akon,2008-01-01,263640,55,0.706,0.11,0.706,0.87,0.0,0.115,-4.162,0.188,92.07,4
2202,I Wanna Love You,Konvicted,Akon,2006,247066,73,0.865,0.0359,0.865,0.45,1.28e-06,0.308,-9.387,0.0417,99.989,4
2203,Don't Matter,Konvicted,Akon,2006,293066,72,0.801,0.225,0.801,0.454,0.0,0.226,-6.035,0.0371,125.139,4
2204,Trouble Nobody,Trouble Deluxe Edition,Akon,2005-01-01,202506,32,0.601,0.433,0.601,0.44,5.5e-06,0.066,-7.102,0.404,179.857,4
2205,Keep On Callin',Trouble Deluxe Edition,Akon,2005-01-01,211733,39,0.665,0.0152,0.665,0.646,0.0,0.174,-7.119,0.0278,95.026,4
2206,Whoa,The Naked Truth,Lil' Kim,2005-09-26,247720,37,0.825,0.00951,0.825,0.604,0.0,0.154,-5.032,0.239,95.02,4
2207,No Diggity,Hip Hop - Universal Masters,Various Artists,2003-01-01,305573,47,0.869,0.334,0.869,0.63,0.0,0.117,-4.703,0.206,88.671,4
2208,Don't Leave Me,Cool - R&B,Various Artists,2009-01-01,310466,44,0.76,0.0323,0.76,0.579,0.0,0.112,-4.278,0.0309,81.837,4
2209,Who's That Girl?,Scorpion,Eve,2001-01-01,282066,0,0.769,0.0165,0.769,0.864,0.000635,0.0698,-3.701,0.2,96.435,4
2210,Got What You Need,Scorpion,Eve,2001-01-01,232026,0,0.727,0.241,0.727,0.773,0.0,0.178,-5.587,0.271,99.571,4
2211,That's What It Is,Scorpion,Eve,2001-01-01,220293,0,0.838,0.0428,0.838,0.822,3.78e-06,0.328,-4.32,0.246,95.002,4
2212,Gangsta Lovin',Eve-Olution [International Version (Explicit)],Eve,2002-01-01,239266,0,0.726,0.0546,0.726,0.845,0.0,0.0874,-3.543,0.059,94.34,4
2213,Breathe (feat. Sean Paul) - Rap Version,Bravo - The Hits 2003,Various Artists,2003-11-28,228400,42,0.79,0.0333,0.79,0.714,0.0,0.272,-3.468,0.0361,91.928,4
2214,Hit 'Em up Style (Oops!),Bittersweet,Blu Cantrell,2003-06-11,250493,54,0.698,0.173,0.698,0.722,0.0,0.289,-5.319,0.0799,90.116,4
2215,Heartbreaker (feat. Jay-Z),Rainbow,Mariah Carey,1999-10-29,285706,66,0.524,0.383,0.524,0.816,0.0,0.349,-5.872,0.37,200.031,4
2216,Try Again,Aaliyah (International Version),Aaliyah,2001,284946,0,0.795,0.0774,0.795,0.674,0.0,0.0971,-4.937,0.245,93.087,4
2217,"My Neck, My Back (Lick It)","Girls of Hip Hop, Vol. 1",Khia,2014-06-06,222333,19,0.853,0.0293,0.853,0.7,0.0,0.0574,-2.05,0.117,102.069,4
2218,I'm a Flirt Remix (feat. T.I. & T-Pain) - Radio Version,Double Up,R. Kelly,2007-05-25,316560,45,0.845,0.0588,0.845,0.599,0.0,0.0745,-4.082,0.084,138.04,4
2219,Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill,1998-08-25,320266,0,0.535,0.0393,0.535,0.505,0.0,0.0923,-8.926,0.245,99.935,4
2220,Everything Is Everything,The Miseducation of Lauryn Hill,Ms. Lauryn Hill,1998-08-25,293266,0,0.824,0.415,0.824,0.707,0.0,0.106,-7.893,0.285,94.708,4
2221,Get Ur Freak On,Miss E... So Addictive,Missy Elliott,2001-05-14,211120,70,0.797,0.533,0.797,0.75,0.108,0.095,-9.369,0.247,177.87,4
2222,Gossip Folks (feat. Ludacris),Under Construction,Missy Elliott,2002-11-11,234893,57,0.707,0.362,0.707,0.538,0.0,0.317,-5.264,0.505,121.732,4
2223,All N My Grill (feat. Big Boi of Outkast & Nicole),Da Real World,Missy Elliott,1998-03-31,272000,51,0.544,0.164,0.544,0.65,0.0,0.225,-8.714,0.144,84.372,4
2224,I Know What You Want (feat. Flipmode Squad),It Ain't Safe No More,Busta Rhymes,2002-11-05,324306,63,0.658,0.016,0.658,0.771,0.0,0.654,-4.318,0.271,85.949,4
2225,Together (feat. Rah Digga),It Ain't Safe No More,Busta Rhymes,2002-11-05,333893,27,0.616,0.273,0.616,0.754,0.0,0.916,-6.373,0.592,84.007,4
2226,P.I.M.P.,Get Rich Or Die Tryin',50 Cent,2003-02-06,249480,76,0.712,0.0521,0.712,0.772,4.35e-06,0.0368,-3.024,0.346,84.722,4
2227,21 Questions,Get Rich Or Die Tryin',50 Cent,2003-02-06,224440,72,0.646,0.349,0.646,0.813,9.37e-05,0.0427,-3.846,0.299,92.729,4
2228,So Amazing,The Massacre (Ecopac Reissue Explicit),50 Cent,2005-03-03,196069,0,0.778,0.0554,0.778,0.73,0.0,0.291,-5.037,0.24,95.024,4
2229,Ayo Technology,Curtis,50 Cent,2007-01-01,247946,0,0.63,0.0828,0.63,0.782,0.0,0.034,-5.44,0.132,140.144,4
2230,I'll Still Kill,Curtis,50 Cent,2007-01-01,223506,0,0.666,0.111,0.666,0.715,9.69e-06,0.23,-5.276,0.261,88.046,4
2231,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284533,1,0.948,0.0287,0.948,0.656,0.0,0.0472,-4.34,0.0606,104.495,4
2232,Superman,The Eminem Show,Eminem,2002-05-26,350226,0,0.803,0.0175,0.803,0.757,0.0,0.195,-3.212,0.0597,130.019,4
2233,Like Toy Soldiers,Encore (Deluxe Explicit Version),Eminem,2004-11-12,296880,0,0.52,0.0193,0.52,0.768,0.00034,0.104,-3.489,0.359,79.178,4
2234,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits,Eminem,2005-12-06,326466,0,0.701,0.00971,0.701,0.728,0.00115,0.361,-4.554,0.255,171.388,4
2235,Hotel (feat. R. Kelly),Split Personality,Cassidy,2004-03-16,247040,51,0.676,0.103,0.676,0.652,0.0,0.113,-6.846,0.204,91.231,4
2236,Get No Better (feat. Mashonda),Split Personality,Cassidy,2004,234933,15,0.722,0.289,0.722,0.604,0.0,0.0898,-7.885,0.163,95.024,4
2237,Back To The Crib - Bonus,"Dipset Mania, Vol. 7",Various Artists,2010-01-08,261433,39,0.43,0.0224,0.43,0.794,0.0,0.187,-4.765,0.369,189.947,4
2238,It's So Hard (featuring Donell Jones),The Legacy: The Best Of Big Pun,Big Pun,2009-09-15,172000,35,0.891,0.051,0.891,0.626,0.0,0.0332,-5.632,0.289,92.994,4
2239,Punish Me (feat. Miss Jones),Capital Punishment (Explicit Version),Big Pun,1998-04-28,254866,42,0.693,0.0874,0.693,0.548,1.78e-05,0.119,-7.234,0.3,87.828,4
2240,Who's Real,The Last Kiss,Jadakiss,2009-01-01,191786,21,0.713,0.166,0.713,0.974,0.0,0.268,-2.346,0.27,94.04,4
2241,Why,Kiss Of Death,Jadakiss,2004-01-01,240000,0,0.601,0.0169,0.601,0.945,0.0,0.0621,-3.36,0.221,168.408,4
2242,Still Feel Me,Kiss Of Death,Jadakiss,2004-01-01,162133,0,0.535,0.0124,0.535,0.82,0.0,0.128,-7.139,0.275,81.785,4
2243,U Make Me Wanna,Kiss Of Death,Jadakiss,2004-01-01,293800,0,0.686,0.0374,0.686,0.818,0.0,0.329,-5.111,0.241,83.182,4
2244,We Gonna Make It,Kiss Tha Game Goodbye,Jadakiss,2001-01-01,213840,0,0.454,0.191,0.454,0.961,1.28e-06,0.132,-3.753,0.372,85.111,4
2245,I Need to Be (feat. Monifah),Harlem World,Mase,1997,312653,34,0.836,0.046,0.836,0.455,7.31e-06,0.0942,-9.308,0.115,132.042,4
2246,All I Ever Wanted - Radio Mix,All I Ever Wanted / Get Ready,Mase,1999-05-25,245373,27,0.709,0.087,0.709,0.338,0.000304,0.0276,-9.282,0.168,205.041,4
2247,I Don't Wanna Know - Main,I Don't Wanna Know,Mario Winans,2004-01-01,258813,0,0.847,0.35,0.847,0.479,0.00101,0.136,-6.214,0.0471,97.023,4
2248,You're The One,Guerilla City,Guerilla Black,2004-01-01,218440,47,0.85,0.491,0.85,0.57,0.0,0.078,-6.489,0.234,100.404,4
2249,So Gone,After The Storm,Monica,2003,242773,68,0.618,0.176,0.618,0.552,0.0,0.252,-6.863,0.0981,81.975,4
2250,So High,Jagged Edge,Jagged Edge,2006-05-09,198760,48,0.693,0.302,0.693,0.611,0.0,0.642,-6.635,0.0922,87.003,4
2251,You,You,Lloyd,2006-01-01,273653,31,0.577,0.116,0.577,0.816,0.0,0.318,-7.159,0.382,130.496,5
2252,Get It Shawty - Main,Street Love,Lloyd,2007-01-01,209533,0,0.822,0.123,0.822,0.905,0.0,0.0496,-4.032,0.241,128.014,4
2253,Hey Young Girl,Southside,Lloyd,2004-01-01,237200,0,0.748,0.23,0.748,0.658,0.0,0.0699,-6.903,0.304,84.466,4
2254,Can I Get A...,Vol. 2 Hard Knock Life,JAY-Z,1998-09-29,309666,0,0.79,0.0626,0.79,0.704,1.58e-05,0.2,-8.51,0.334,177.123,4
2255,Big Pimpin',Volume. 3... Life and Times of S. Carter,JAY-Z,1999-12-28,283066,0,0.879,0.176,0.879,0.81,0.00386,0.0582,-6.286,0.151,138.054,4
2256,I Just Wanna Love U (Give It 2 Me),The Dynasty,JAY-Z,2000-10-31,227866,0,0.771,0.304,0.771,0.927,9.01e-06,0.0353,-5.511,0.235,98.459,4
2257,Izzo (H.O.V.A.),The Blueprint (Explicit Version),JAY-Z,2001-09-11,240626,0,0.651,0.0263,0.651,0.841,0.000218,0.0699,-4.246,0.338,84.705,4
2258,Family Affair,No More Drama,Mary J. Blige,2001-08-28,265866,0,0.914,0.133,0.914,0.551,2.61e-05,0.0841,-3.879,0.0455,92.889,4
2259,Rainy Dayz,No More Drama,Mary J. Blige,2001-08-28,276373,0,0.412,0.195,0.412,0.667,0.0,0.305,-6.997,0.229,68.942,3
